iter	MultiClass
142	1.197272776
143	1.194728267
144	1.192327287
145	1.189717408
146	1.186715753
147	1.184292263
148	1.182021103
149	1.179980921
150	1.177336005
151	1.174511714
152	1.172101884
153	1.169941883
154	1.167698455
155	1.165150655
156	1.162874294
157	1.160881092
158	1.157857
159	1.155891927
160	1.153342727
161	1.15102109
162	1.148904201
163	1.146726719
164	1.144678273
165	1.142464182
166	1.140611973
167	1.138577553
168	1.136585216
169	1.134492558
170	1.132374433
171	1.130341036
172	1.128575702
173	1.126670171
174	1.125010422
175	1.123119738
176	1.120957194
177	1.119117141
178	1.117090669
179	1.115034615
180	1.112996516
181	1.111150369
182	1.109502966
183	1.10730991
184	1.105399186
185	1.103484921
186	1.101281601
187	1.099232683
188	1.097519945
189	1.095467079
190	1.093408749
191	1.091618807
192	1.08998714
193	1.088188801
194	1.086536232
195	1.084834748
196	1.083190827
197	1.081314774
198	1.079436618
199	1.077664413
200	1.07587838
201	1.073947937
202	1.072384609
203	1.070484297
204	1.068719015
205	1.067271927
206	1.065394712
207	1.063723582
208	1.06225153
209	1.060425891
210	1.058920842
211	1.057302692
212	1.055538502
213	1.053869019
214	1.052193742
215	1.050584119
216	1.049138569
217	1.047432226
218	1.045760267
219	1.044238559
220	1.0425775
221	1.041150432
222	1.039595624
223	1.038135583
224	1.036481496
225	1.03490916
226	1.033398722
227	1.032005977
228	1.030516487
229	1.02911906
230	1.027750284
231	1.026268266
232	1.024874279
233	1.023486269
234	1.022054077
235	1.02062991
236	1.019042241
237	1.017614728
238	1.016182104
239	1.014710737
240	1.01333495
241	1.011933111
242	1.010561902
243	1.009181158
244	1.007687159
245	1.006170084
246	1.004729757
247	1.003406383
248	1.002087525
249	1.000480002
250	0.9990968778
251	0.9978209026
252	0.9965317785
253	0.9951103186
254	0.9938588816
255	0.9924292522
256	0.9911777364
257	0.9895641342
258	0.9881924118
259	0.9868061331
260	0.9853948489
261	0.984053044
262	0.9828200512
263	0.9814463016
264	0.9801568697
265	0.9788088523
266	0.9775867481
267	0.9762946414
268	0.975010319
269	0.9736403659
270	0.9722358232
271	0.9709679557
272	0.969749505
273	0.9686593963
274	0.9674367363
275	0.9660868629
276	0.9649132245
277	0.9636678252
278	0.9624325401
279	0.9611864398
280	0.9599343254
281	0.9587336564
282	0.9575761325
283	0.9562836432
284	0.9551294554
285	0.9539088233
286	0.9526956765
287	0.9515482877
288	0.950359374
289	0.949060002
290	0.9477823503
291	0.9464875086
292	0.9454124802
293	0.9442345344
294	0.9430505318
295	0.9419291884
296	0.9407081838
297	0.939516109
298	0.9384243068
299	0.9373650429
300	0.9362764982
301	0.9350546269
302	0.9339226291
303	0.9327573465
304	0.9317763498
305	0.9307338336
306	0.9296426221
307	0.9284756913
308	0.9273628462
309	0.9261775821
310	0.9250135302
311	0.9238430228
312	0.9227982753
313	0.9216849358
314	0.9205768375
315	0.9193605924
316	0.9182199539
317	0.9168875444
318	0.9158021738
319	0.9147700949
320	0.9137520469
321	0.9126832881
322	0.9115202133
323	0.9103932907
324	0.909295922
325	0.9082977195
326	0.9071644624
327	0.9061034653
328	0.9049918247
329	0.9040280003
330	0.9029993715
331	0.902012336
332	0.9008506648
333	0.8997793553
334	0.8986293833
335	0.897538179
336	0.8965135891
337	0.895435616
338	0.8944606775
339	0.893516147
340	0.8924044049
341	0.8914139103
342	0.8903603214
343	0.8892960648
344	0.8883413333
345	0.8873242587
346	0.8862689713
347	0.8851866179
348	0.8841378258
349	0.8831225987
350	0.8820983206
351	0.8810051928
352	0.8798941035
353	0.8788100266
354	0.8777701254
355	0.876612259
356	0.8755886759
357	0.8745592699
358	0.8735406664
359	0.872484613
360	0.871465708
361	0.8705289394
362	0.8696203407
363	0.868508822
364	0.8674975265
365	0.8663716394
366	0.8653690149
367	0.8644780509
368	0.8635404743
369	0.8624501409
370	0.8615644806
371	0.8606075303
372	0.8594853398
373	0.8585951831
374	0.8576281746
375	0.8567660874
376	0.8557495652
377	0.8548828673
378	0.8539478184
379	0.8529071139
380	0.8519995674
381	0.8512532206
382	0.8502010168
383	0.8492214378
384	0.8483769602
385	0.8473597118
386	0.8464600843
387	0.8454592613
388	0.8445957449
389	0.8436595553
390	0.8426555058
391	0.8418804402
392	0.8409179035
393	0.8400904527
394	0.8390342829
395	0.8381203973
396	0.837161071
397	0.8360678912
398	0.8353182979
399	0.8344117228
400	0.8335366917
401	0.8325464893
402	0.8315602722
403	0.8306560335
404	0.8298902659
405	0.8290273975
406	0.8281012794
407	0.8272190535
408	0.8263219644
409	0.8254396028
410	0.8245496473
411	0.8238374146
412	0.8230371706
413	0.8222735279
414	0.821328198
415	0.8204829301
416	0.8196249656
417	0.8188676931
418	0.8179682183
419	0.8172133375
420	0.8164227186
421	0.8156804132
422	0.8148137524
423	0.8138623941
424	0.8129975766
425	0.8121960626
426	0.8114628331
427	0.8104130617
428	0.8096243946
429	0.8086239977
430	0.8078111347
431	0.8070723044
432	0.8061524903
433	0.8051603747
434	0.8043722934
435	0.8034218096
436	0.8025437069
437	0.8016363799
438	0.800839128
439	0.7999822655
440	0.799268031
441	0.7985363103
442	0.7975391412
443	0.7966428061
444	0.7958516936
445	0.795157802
446	0.7944486674
447	0.7936421241
448	0.7926534016
449	0.791809847
450	0.7909810697
451	0.7901282807
452	0.7893233343
453	0.7885544526
454	0.7878184869
455	0.7869483885
456	0.7861589001
457	0.7851335104
458	0.7842271622
459	0.7834158842
460	0.7827719721
461	0.7819870222
462	0.7811075133
463	0.7804043846
464	0.7795734019
465	0.7788834287
466	0.7782356068
467	0.7774917445
468	0.7768015198
469	0.7758817305
470	0.7750625931
471	0.7742922576
472	0.7735644514
473	0.772661954
474	0.7719721912
475	0.7711705059
476	0.7703530689
477	0.7694419432
478	0.7686659368
479	0.7677078804
480	0.7669931228
481	0.7662920282
482	0.7654226147
483	0.7645729746
484	0.763881909
485	0.7631686728
486	0.76232936
487	0.7616513413
488	0.7608417976
489	0.7600698102
490	0.7592941872
491	0.7585034019
492	0.7578866803
493	0.7570192864
494	0.7561881156
495	0.7554483606
496	0.7546467283
497	0.7539092027
498	0.7530544024
499	0.7523786976
500	0.751502721
501	0.7508979557
502	0.7500856297
503	0.7492117142
504	0.7483835057
505	0.7477541686
506	0.7470272656
507	0.7462774772
508	0.745633291
509	0.7449050458
510	0.7441874858
511	0.7435384801
512	0.7427831846
513	0.7420329641
514	0.741330328
515	0.7406398142
516	0.7398982179
517	0.739182256
518	0.7384192849
519	0.7376796308
520	0.7369829285
521	0.7363503069
522	0.7356957412
523	0.7349425668
524	0.7341943962
525	0.7335031956
526	0.7328915126
527	0.7322193946
528	0.7315614531
529	0.7309578083
530	0.73023998
531	0.7296054488
532	0.7288791927
533	0.728151955
534	0.7274605293
535	0.726831708
536	0.7261986735
537	0.7254659481
538	0.7248401378
539	0.7242307979
540	0.7237460173
541	0.7229857959
542	0.7223181685
543	0.7215098135
544	0.7208994587
545	0.7203010196
546	0.7197703491
547	0.7191772152
548	0.7184398856
549	0.7178609994
550	0.7171396494
551	0.7166358919
552	0.7159255824
553	0.7153803951
554	0.7146742004
555	0.713999329
556	0.7133089018
557	0.7126793092
558	0.7121055022
559	0.7115019486
560	0.7108685841
561	0.7102679059
562	0.7096842441
563	0.7090590133
564	0.7084148322
565	0.7079367103
566	0.7072209802
567	0.7065701012
568	0.7060079085
569	0.7053337601
570	0.7048122088
571	0.7041788577
572	0.7034387244
573	0.702732758
574	0.7021698825
575	0.7014997176
576	0.7008588498
577	0.7003585989
578	0.6997546668
579	0.6992942318
580	0.6986104852
581	0.6979754532
582	0.6973702032
583	0.6967393649
584	0.6962038151
585	0.695512232
586	0.694845641
587	0.6941239684
588	0.6935508291
589	0.6929223181
590	0.692173498
591	0.6915218602
592	0.6908344778
593	0.690277767
594	0.6898013033
595	0.6892699048
596	0.6885849161
597	0.6879276678
598	0.6873236052
599	0.6867045258
600	0.6862255589
601	0.6855642994
602	0.6850298857
603	0.6844623209
604	0.6838875174
605	0.683368642
606	0.6828707254
607	0.6824519373
608	0.6819246878
609	0.6812948039
610	0.6807501194
611	0.6803299752
612	0.6796823359
613	0.6791744187
614	0.6785814701
615	0.6780733717
616	0.6774958692
617	0.6769839333
618	0.6765806099
619	0.6759744341
620	0.6752850294
621	0.6746837651
622	0.6742502487
623	0.6736553422
624	0.673164469
625	0.6727760315
626	0.6722715824
627	0.6718536296
628	0.6715540361
629	0.6709737437
630	0.6704171995
631	0.6698588462
632	0.6692828755
633	0.668669522
634	0.668079719
635	0.6674868405
636	0.6669413426
637	0.6664148791
638	0.6659226114
639	0.6655715455
640	0.6650743966
641	0.6645298869
642	0.6639293552
643	0.6634016155
644	0.6628233431
645	0.6623280073
646	0.6617546384
647	0.6610860223
648	0.6605311864
649	0.6599680749
650	0.6595276778
651	0.6589429916
652	0.6584334675
653	0.6577940063
654	0.6574765663
655	0.6569373261
656	0.6565179846
657	0.6560407391
658	0.6555425661
659	0.6551217354
660	0.6549164058
661	0.6544618928
662	0.6541120737
663	0.6539198283
664	0.6533618534
665	0.6530656547
666	0.6524911363
667	0.6519548464
668	0.651629575
669	0.6510363905
670	0.6504534048
671	0.6499969844
672	0.6496365454
673	0.6491106905
674	0.6485877681
675	0.6480593857
676	0.6476423517
677	0.6470563913
678	0.6464998662
679	0.6461390828
680	0.6456374711
681	0.6452416173
682	0.6449142718
683	0.6444086035
684	0.6437989805
685	0.6432287989
686	0.6426432957
687	0.6421591366
688	0.6416818043
689	0.6411424066
690	0.640845345
691	0.6403936314
692	0.6398032348
693	0.6391951444
694	0.6386724775
695	0.6382142417
696	0.6377667714
697	0.6371432156
698	0.6366850083
699	0.6363347258
700	0.6359562458
701	0.6356115052
702	0.6351750144
703	0.6348330153
704	0.6344555876
705	0.633989555
706	0.6334783405
707	0.633023279
708	0.6325914379
709	0.6321178195
710	0.6315986961
711	0.6309655781
712	0.6304702735
713	0.6301295843
714	0.6296373424
715	0.6293375489
716	0.6288975154
717	0.6284885414
718	0.6280526281
719	0.6276457857
720	0.627137179
721	0.6266794891
722	0.6262620614
723	0.6258675432
724	0.6255034829
725	0.6250268227
726	0.6245248314
727	0.6240392791
728	0.6236114338
729	0.623235782
730	0.6228297391
731	0.6222656344
732	0.6216779986
733	0.6213274756
734	0.6209232116
735	0.6206478455
736	0.6202675182
737	0.6196289936
738	0.6190607858
739	0.6186860526
740	0.6181647722
741	0.6177045628
742	0.6173594456
743	0.6170729307
744	0.6166806928
745	0.6163015356
