iter	Passed	Remaining
402	11066	9419
403	11093	9391
404	11120	9362
405	11143	9331
406	11171	9304
407	11197	9275
408	11223	9247
409	11251	9220
410	11277	9192
411	11304	9164
412	11329	9134
413	11352	9103
414	11376	9073
415	11400	9043
416	11425	9014
417	11452	8986
418	11479	8958
419	11505	8930
420	11531	8902
421	11559	8874
422	11584	8845
423	11609	8816
424	11638	8790
425	11667	8764
426	11693	8736
427	11720	8708
428	11745	8679
429	11771	8650
430	11797	8622
431	11824	8594
432	11851	8566
433	11876	8537
434	11901	8508
435	11926	8479
436	11954	8453
437	11981	8425
438	12012	8400
439	12043	8375
440	12069	8347
441	12095	8319
442	12122	8291
443	12150	8264
444	12173	8234
445	12200	8206
446	12227	8179
447	12254	8151
448	12280	8122
449	12306	8094
450	12331	8065
451	12357	8037
452	12384	8010
453	12410	7982
454	12437	7954
455	12463	7926
456	12486	7896
457	12512	7868
458	12539	7840
459	12566	7813
460	12596	7787
461	12623	7759
462	12648	7731
463	12674	7703
464	12700	7674
465	12727	7647
466	12754	7619
467	12781	7592
468	12808	7564
469	12834	7536
470	12860	7508
471	12886	7480
472	12912	7452
473	12938	7424
474	12965	7397
475	12989	7367
476	13012	7338
477	13034	7308
478	13056	7277
479	13080	7248
480	13103	7219
481	13126	7189
482	13152	7161
483	13178	7133
484	13205	7106
485	13232	7079
486	13259	7051
487	13286	7024
488	13311	6996
489	13337	6968
490	13364	6940
491	13389	6912
492	13415	6884
493	13439	6855
494	13463	6827
495	13486	6797
496	13509	6768
497	13535	6740
498	13562	6713
499	13589	6685
500	13613	6657
501	13639	6629
502	13666	6602
503	13691	6574
504	13717	6546
505	13745	6519
506	13773	6492
507	13801	6466
508	13826	6437
509	13852	6410
510	13879	6382
511	13906	6355
512	13935	6329
513	13960	6301
514	13987	6273
515	14013	6246
516	14040	6218
517	14065	6190
518	14093	6164
519	14119	6136
520	14145	6108
521	14168	6080
522	14192	6051
523	14217	6023
524	14244	5996
525	14270	5968
526	14296	5941
527	14321	5913
528	14347	5885
529	14373	5858
530	14401	5830
531	14428	5803
532	14454	5776
533	14479	5748
534	14504	5720
535	14531	5693
536	14560	5667
537	14587	5639
538	14613	5612
539	14640	5585
540	14667	5557
541	14691	5529
542	14715	5501
543	14741	5473
544	14769	5447
545	14797	5420
546	14823	5392
547	14847	5364
548	14874	5337
549	14901	5310
550	14927	5282
551	14953	5255
552	14980	5228
553	15006	5200
554	15030	5172
555	15056	5145
556	15082	5117
557	15110	5090
558	15136	5063
559	15159	5035
560	15182	5006
561	15205	4978
562	15227	4949
563	15251	4921
564	15278	4894
565	15302	4866
566	15329	4839
567	15355	4812
568	15379	4784
569	15407	4757
570	15432	4729
571	15459	4702
572	15487	4675
573	15515	4649
574	15542	4622
575	15566	4594
576	15593	4567
577	15620	4540
578	15645	4512
579	15670	4484
580	15696	4457
581	15722	4430
582	15747	4402
583	15773	4375
584	15799	4348
585	15826	4321
586	15853	4294
587	15878	4266
588	15903	4239
589	15930	4212
590	15956	4184
591	15981	4157
592	16005	4129
593	16029	4101
594	16053	4074
595	16076	4046
596	16102	4018
597	16126	3991
598	16147	3962
599	16172	3935
600	16197	3907
601	16224	3880
602	16253	3854
603	16282	3828
604	16311	3801
605	16340	3775
606	16368	3748
607	16393	3720
608	16418	3693
609	16444	3666
610	16473	3639
611	16497	3612
612	16524	3585
613	16549	3557
614	16572	3530
615	16599	3503
616	16627	3476
617	16653	3449
618	16681	3422
619	16707	3395
620	16730	3367
621	16754	3340
622	16780	3313
623	16806	3285
624	16833	3258
625	16859	3231
626	16883	3204
627	16908	3177
628	16934	3150
629	16962	3123
630	16987	3096
631	17015	3069
632	17040	3042
633	17064	3014
634	17089	2987
635	17113	2959
636	17139	2932
637	17165	2905
638	17188	2878
639	17214	2851
640	17241	2824
641	17266	2797
642	17291	2769
643	17318	2743
644	17345	2716
